Company,Actions,Industry,Links,Product/Service Category,Business Type,Employees count,Revenue,Year Founded,BBB Rating,Street,City,State,Company Phone,Company Email,Source,Created Date,Updated
Horn and Sons,Unqualified,Information Technology,https://everett-ochoa.com,Hardware,B2B2C,613,$750M,2017,B,0074 Juarez Village Apt. 593,Martinezport,RI,001-655-536-6391x687,msimpson@example.org,CrunchBase,2025-01-06,2025-05-09
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2023-06-27,2023-09-20
Conley LLC,New,"Designer, multimedia",https://jackson.biz,Hardware,B2B,3617,$1344M,2024,B,7211 Mitchell Streets,Jamieview,CO,947-600-0997,sandra17@example.org,Apollo,2025-04-08,2025-06-11
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2022-07-23,2024-05-20
"Griffin, Hernandez and Garner",Unqualified,Information Technology,https://bell.com,Investment Banking,B2B2C,2957,$2447M,1998,C,2071 Turner Road,Waterston,MT,001-801-967-4828x87425,tsims@example.org,LinkedIn,2023-08-29,2024-12-28
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2023-04-21,2023-10-12
Foley PLC,Contacted,"Surveyor, land/geomatics",https://russell.info,Software,B2B2C,1880,$3746M,2006,A,3793 Ryan Plain,South Laurie,HI,+1-397-348-0542x7434,qnelson@example.net,Apollo,2024-05-15,2024-08-01
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2022-09-21,2024-01-12
"Herring, Serrano and Orr",Unqualified,Information Technology,https://reynolds-ewing.info,Services,B2B2C,3145,$4618M,2020,B,1185 Carol Via,Port Sarah,OR,359.728.2052x65829,joanncohen@example.org,Apollo,2025-02-02,2025-05-01
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2023-05-28,2024-05-31
Jenkins Group,Qualified,Information Technology,https://williams.org,Hardware,B2B,1694,$4026M,2002,C,969 Jenkins Inlet Apt. 344,Francestown,MH,4693463778,scottherrera@example.org,LinkedIn,2025-01-02,2025-02-04
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2023-01-16,2024-06-02
"Diaz, Smith and Olson",New,Information Technology,https://mayer-hill.info,Investment Banking,B2B2C,3760,$111M,1989,C,660 Monica Garden,New Scott,WA,458-291-5766,truiz@example.com,Growjo,2024-07-04,2025-04-26
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2023-04-04,2024-04-01
"Mclaughlin, Winters and Johnson",New,Information Technology,https://clark-turner.biz,Software,B2B2C,2910,$3310M,1978,C,2794 Wood Glens Suite 648,New Tinashire,CA,688.649.9542x97817,alanjohnson@example.net,Growjo,2024-01-31,2024-04-16
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2022-08-03,2024-06-06
Tate Inc,New,Information Technology,https://meyer-ross.com,Services,B2B,433,$4148M,2008,B,57081 Tina Street,West Cynthia,NY,(869)234-5490x2015,marcusestrada@example.com,CrunchBase,2024-04-20,2024-11-26
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2023-06-01,2023-09-15
Ellis-Wood,Contacted,Information Technology,https://rios.com,Investment Banking,B2B,3803,$4319M,1998,A,712 Jeanette Squares Apt. 373,Lake Vincentton,AR,+1-291-346-8944x83133,jacksonsue@example.net,CrunchBase,2024-06-04,2025-01-23
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2022-11-21,2023-08-19
Collins-Jones,Qualified,Information Technology,https://green-hines.com,Software,B2B,3302,$1793M,1976,A+,48586 Hoffman Stravenue,Atkinsside,TN,(864)704-2021x62966,tristan47@example.net,LinkedIn,2024-11-22,2025-02-08
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2023-05-23,2024-03-31
"Hogan, Green and Reyes",Unqualified,"Administrator, sports",https://mcdowell-barrett.com,Software,B2B2C,941,$4008M,1992,C,1855 Terri Mall,Reedville,IA,+1-786-270-5633,mcneilthomas@example.org,Apollo,2024-09-01,2025-06-15
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2022-12-08,2024-04-06
Stevenson-Silva,Contacted,"Designer, fashion/clothing",https://campos.com,Services,B2B2C,1583,$4963M,2025,B,0768 Anderson Rue Apt. 951,Port Carlosfurt,AS,+1-211-245-5443x576,speters@example.com,LinkedIn,2024-12-02,2024-12-31
XYZ Comapany,New,Invalid industry,http://xyzlink,Soap,B2B,-1,NA,1800,NR,,Nomad,Dumpling,0,xyz@email,Unknown,2022-10-21,2024-05-29
